Species,Pond_Area,Soil_Type,Water_Source,Season,Recommended_Stocking,Survival_Rate
Rohu,4.18,Sandy,Borewell,Monsoon,45502,81.94
Soft Shell Crab,2.99,Sandy,River,Summer,7193,87.64
Seabass,4.63,Loamy,Canal,Monsoon,2958,76.57
Black Tiger Shrimp,3.27,Loamy,Borewell,Winter,8981,70.87
Whiteleg Shrimp,1.33,Loamy,River,Summer,7781,83.51
Barramundi,1.45,Clay,Canal,Summer,43294,89.31
Tiger Prawn,2.69,Loamy,Borewell,Monsoon,19304,74.74
Snow Crab,0.85,Loamy,River,Monsoon,14955,78.36
Tilapia,4.88,Loamy,Borewell,Winter,42085,74.32
Whiteleg Shrimp,0.72,Loamy,Canal,Summer,10339,74.54
Trout,1.52,Sandy,Canal,Monsoon,12395,90.05
King Crab,4.37,Clay,River,Summer,43429,90.63
Soft Shell Crab,3.92,Clay,River,Monsoon,25222,90.25
Grouper,2.63,Sandy,Borewell,Summer,37725,73.21
Pangasius,3.61,Clay,River,Winter,3283,91.37
Blue Swimmer Crab,2.01,Clay,Canal,Winter,6450,71.49
Mud Crab,1.02,Clay,Borewell,Winter,7039,86.38
Vannamei,3.81,Loamy,Borewell,Summer,8336,78.79
Whiteleg Shrimp,4.15,Clay,River,Winter,21772,92.67
Pangasius,3.13,Clay,Canal,Summer,46071,75.1
Dungeness Crab,2.47,Sandy,River,Summer,11591,86.19
Black Tiger Shrimp,1.86,Clay,Canal,Monsoon,29368,74.52
Black Tiger Shrimp,1.8,Loamy,River,Winter,47611,89.23
Pangasius,1.31,Sandy,Canal,Monsoon,20249,90.38
Catfish,3.39,Loamy,River,Winter,5384,91.04
Blue Swimmer Crab,0.73,Loamy,River,Summer,45441,78.46
Blue Swimmer Crab,1.29,Loamy,Canal,Monsoon,39299,75.3
Tilapia,2.51,Clay,Borewell,Summer,10800,86.92
Rohu,2.6,Clay,Canal,Winter,37403,78.51
Carp,1.44,Sandy,Canal,Summer,15650,78.61
Milkfish,4.29,Clay,River,Summer,41433,87.93
Grouper,0.7,Sandy,Canal,Monsoon,29381,90.21
Blue Swimmer Crab,4.72,Clay,River,Monsoon,11955,77.24
Dungeness Crab,0.55,Sandy,Borewell,Winter,49195,91.95
Black Tiger Shrimp,2.86,Sandy,River,Monsoon,24544,89.43
Salmon,1.19,Loamy,Borewell,Winter,35156,73.53
Seabass,2.51,Clay,River,Summer,3980,73.15
Trout,4.56,Loamy,Borewell,Summer,30559,81.92
Freshwater Prawn,2.8,Sandy,Canal,Summer,6614,82.53
Barramundi,2.21,Sandy,Borewell,Winter,9033,81.6
Trout,1.5,Clay,River,Summer,44007,93.85
Cod,2.73,Sandy,Borewell,Winter,13164,78.78
Black Tiger Shrimp,3.87,Clay,Canal,Monsoon,19742,89.98
Mud Crab,1.22,Clay,River,Summer,19637,93.69
Tuna,4.65,Clay,Borewell,Summer,12358,90.53
Snow Crab,1.6,Loamy,River,Winter,20641,89.88
Trout,1.93,Sandy,River,Winter,10199,87.61
Tilapia,4.6,Sandy,Borewell,Monsoon,15756,72.78
Black Tiger Shrimp,4.62,Loamy,Canal,Summer,39859,87.6
Freshwater Prawn,0.87,Loamy,River,Monsoon,31103,77.27
Tiger Prawn,1.75,Loamy,Canal,Monsoon,28378,85.83
Tilapia,1.31,Sandy,Borewell,Summer,41003,86.59
Black Tiger Shrimp,3.88,Clay,Canal,Summer,30272,74.37
Tuna,3.96,Loamy,Canal,Summer,19502,76.71
Seabass,0.96,Clay,River,Monsoon,45436,73.48
Pangasius,0.52,Sandy,Canal,Winter,18631,88.52
Banana Prawn,3.58,Loamy,Borewell,Winter,34130,74.47
Cod,1.29,Sandy,River,Monsoon,46131,82.29
Blue Swimmer Crab,2.81,Loamy,Canal,Winter,43473,71.13
Cod,2.37,Loamy,River,Winter,30120,74.66
Mud Crab,1.23,Clay,Canal,Monsoon,20010,91.86
Soft Shell Crab,2.93,Sandy,River,Monsoon,27950,76.31
Tilapia,1.49,Sandy,Borewell,Winter,19436,74.15
Rohu,4.79,Loamy,River,Summer,11943,82.82
King Prawn,3.07,Loamy,River,Summer,49118,92.72
King Prawn,4.35,Clay,River,Summer,24115,76.67
Dungeness Crab,3.55,Clay,Canal,Winter,22520,80.41
Catfish,1.96,Sandy,Canal,Monsoon,6823,77.47
Vannamei,3.97,Clay,Canal,Monsoon,12439,84.8
Black Tiger Shrimp,1.09,Sandy,River,Summer,41058,79.91
Black Tiger Shrimp,2.34,Loamy,Borewell,Winter,10967,73.57
Trout,1.08,Clay,River,Summer,4054,81.38
Barramundi,0.71,Sandy,Borewell,Monsoon,42331,90.92
Salmon,4.81,Clay,Canal,Monsoon,26842,89.24
Barramundi,2.41,Clay,Borewell,Monsoon,4470,93.62
Carp,3.39,Sandy,River,Summer,37285,92.82
Banana Prawn,1.07,Sandy,River,Monsoon,24606,80.11
King Prawn,2.24,Loamy,Canal,Monsoon,46963,83.75
Dungeness Crab,4.7,Loamy,River,Summer,21244,72.32
Pangasius,4.71,Clay,Canal,Monsoon,44195,74.72
Whiteleg Shrimp,0.57,Loamy,Canal,Winter,41463,82.76
Grouper,4.17,Sandy,Borewell,Summer,29773,81.54
Rohu,3.55,Sandy,Canal,Monsoon,36840,71.22
Snow Crab,3.58,Clay,Canal,Winter,19272,93.68
Freshwater Prawn,1.99,Clay,River,Summer,41230,71.99
Tuna,4.89,Loamy,River,Monsoon,31421,90.85
Carp,4.47,Clay,Canal,Monsoon,10233,87.46
Black Tiger Shrimp,3.38,Sandy,River,Winter,2893,73.07
Mud Crab,1.49,Clay,Borewell,Summer,3234,79.37
Milkfish,3.72,Sandy,Borewell,Summer,36164,75.02
Blue Swimmer Crab,2.06,Loamy,River,Winter,14968,74.62
Vannamei,2.39,Loamy,River,Winter,7963,88.66
Milkfish,3.28,Sandy,Borewell,Winter,23077,84.45
Carp,1.53,Loamy,River,Summer,19446,73.1
Rohu,4.11,Loamy,River,Summer,24426,77.57
King Crab,0.52,Loamy,Borewell,Summer,16303,93.49
Barramundi,4.21,Clay,Canal,Winter,3456,83.52
King Prawn,4.28,Sandy,River,Summer,4739,73.5
Tilapia,2.15,Clay,River,Summer,13361,75.5
Tiger Prawn,3.05,Clay,Borewell,Summer,44695,87.51
Cod,4.75,Loamy,River,Monsoon,14499,75.9
Tiger Prawn,2.61,Clay,River,Winter,9235,75.56
Cod,2.57,Loamy,Canal,Winter,49375,87.97
Tiger Prawn,1.05,Sandy,Canal,Monsoon,19169,83.2
Catfish,0.57,Loamy,River,Summer,17181,89.49
Pangasius,4.82,Clay,Borewell,Summer,47801,77.69
Seabass,0.65,Clay,River,Summer,41008,83.15
Vannamei,2.48,Clay,Borewell,Winter,38729,72.23
Blue Swimmer Crab,4.82,Loamy,River,Summer,49839,80.29
Snow Crab,4.11,Sandy,Canal,Monsoon,47684,79.19
Pangasius,3.56,Clay,River,Monsoon,32730,74.57
Soft Shell Crab,1.65,Sandy,Borewell,Summer,46702,92.4
Tuna,2.22,Loamy,River,Summer,35103,81.35
Milkfish,3.89,Loamy,River,Monsoon,11556,75.34
Banana Prawn,4.6,Sandy,Canal,Winter,47674,80.52
Dungeness Crab,1.18,Clay,Canal,Summer,18328,85.03
Milkfish,3.86,Loamy,Borewell,Monsoon,26806,88.41
Tuna,1.58,Loamy,Borewell,Monsoon,20152,93.29
Vannamei,3.64,Loamy,Borewell,Summer,24395,77.77
Cod,4.73,Loamy,River,Winter,38799,94.55
Black Tiger Shrimp,4.95,Clay,Canal,Winter,28748,79.31
Milkfish,3.91,Clay,Borewell,Monsoon,28492,85.34
Cod,4.85,Clay,Canal,Summer,7969,84.11
Carp,2.72,Loamy,River,Winter,17930,82.16
Rohu,2.06,Sandy,Borewell,Monsoon,14830,79.14
