Target_Country,Species,Required_Quantity,Quality_Grade,Price_Offered
China,Black Tiger Shrimp,6,A,94642.55
Japan,Vannamei,26,B,184551.42
EU,Blue Swimmer Crab,15,C,334740.48
USA,Snapper,44,B,148403.37
USA,Tiger Prawn,2,B,420867.92
India,Dungeness Crab,42,A,137220.6
India,Milkfish,30,B,230739.47
USA,Barramundi,3,B,123741.24
EU,Snapper,44,B,231062.14
India,Black Tiger Shrimp,24,B,441571.84
EU,Tuna,15,B,96582.8
Japan,Snow Crab,23,B,329545.88
EU,Black Tiger Shrimp,36,B,307759.54
EU,Blue Swimmer Crab,16,B,104669.97
India,Catfish,28,B,226995.08
USA,King Crab,17,A,68070.25
EU,Black Tiger Shrimp,27,B,59334.93
China,Snow Crab,34,B,296123.36
China,Blue Swimmer Crab,18,C,131979.71
EU,Vannamei,12,C,224970.95
China,Banana Prawn,9,C,285181.58
China,Snapper,12,A,417618.78
Japan,Black Tiger Shrimp,44,C,73124.23
India,Cod,39,C,23844.93
USA,Grouper,42,A,231666.28
USA,Milkfish,25,B,84795.04
China,Tuna,21,B,441609.6
EU,Salmon,31,B,414525.53
USA,Whiteleg Shrimp,13,A,366854.46
India,Salmon,19,B,370701.56
EU,Banana Prawn,12,C,71556.0
China,Vannamei,32,B,328906.97
EU,Banana Prawn,1,C,331146.73
India,Cod,27,B,417103.57
India,King Crab,1,B,123174.74
India,Banana Prawn,40,B,82679.03
USA,Trout,20,A,484904.12
Japan,Pangasius,13,C,78990.8
EU,Carp,4,A,85287.11
EU,Tuna,2,C,193090.68
Japan,Pangasius,39,A,257249.63
USA,Whiteleg Shrimp,15,C,490464.67
Japan,King Prawn,26,C,330929.11
China,King Prawn,23,C,419291.79
India,Black Tiger Shrimp,43,A,386714.43
EU,Vannamei,46,A,378017.52
USA,Tiger Prawn,9,A,46541.49
EU,Whiteleg Shrimp,10,C,419802.55
China,Trout,36,A,178521.68
China,Vannamei,33,A,284027.47
USA,Pangasius,42,C,460879.79
EU,Whiteleg Shrimp,12,C,259152.87
Japan,Pangasius,16,A,14289.4
Japan,Tuna,9,B,465916.13
USA,Salmon,16,B,105584.74
EU,Grouper,9,C,107856.04
Japan,Snapper,35,A,123098.47
India,Mud Crab,20,A,247515.13
India,King Prawn,1,B,129103.96
China,Barramundi,23,C,350552.28
China,Dungeness Crab,4,A,380995.86
USA,Black Tiger Shrimp,41,B,33977.49
China,Tuna,11,C,209195.25
India,Salmon,22,A,290472.16
China,Rohu,49,B,242188.93
USA,Snapper,4,A,282068.87
USA,Grouper,37,C,158715.27
Japan,Trout,10,C,290095.97
China,Dungeness Crab,24,A,218937.72
Japan,Barramundi,43,C,166054.83
EU,Dungeness Crab,7,B,211931.72
Japan,Whiteleg Shrimp,21,C,285336.18
Japan,Pangasius,1,A,472151.68
USA,Snow Crab,34,C,457990.81
India,Blue Swimmer Crab,35,B,276998.27
India,Freshwater Prawn,40,A,312292.39
Japan,Seabass,5,B,410659.33
India,Rohu,13,A,480830.38
India,Tilapia,1,B,193595.22
India,Black Tiger Shrimp,28,B,129410.2
USA,Cod,36,A,482943.02
USA,Snow Crab,48,B,209391.21
Japan,Snapper,16,B,72923.91
India,Salmon,45,C,444725.21
China,Trout,17,A,449495.99
Japan,Freshwater Prawn,46,C,29029.53
China,Tuna,16,C,412702.31
India,Cod,31,B,265888.64
China,Barramundi,35,C,95195.03
EU,Tiger Prawn,10,B,339618.51
India,Milkfish,11,A,354216.15
China,Banana Prawn,12,C,450201.48
USA,Banana Prawn,11,B,298729.2
Japan,Dungeness Crab,15,C,439885.89
Japan,Rohu,29,B,442967.27
EU,Barramundi,2,B,343967.97
India,Tilapia,50,B,111394.63
Japan,Cod,26,B,492758.28
EU,Salmon,40,C,331948.22
China,Grouper,14,B,468941.92
China,Dungeness Crab,50,C,419493.64
Japan,Black Tiger Shrimp,47,B,394568.19
India,Rohu,21,A,472492.66
EU,Trout,18,C,393037.66
China,Salmon,3,B,449212.81
EU,Milkfish,1,C,157908.31
China,Mud Crab,7,A,183476.48
EU,Grouper,2,C,341319.3
EU,Tilapia,22,B,11459.34
USA,Mud Crab,18,C,372093.87
China,Pangasius,42,B,72540.66
USA,King Prawn,24,A,41802.2
USA,Tiger Prawn,3,B,365512.26
India,Salmon,45,A,269335.84
India,Rohu,26,A,27384.69
USA,Banana Prawn,34,B,280669.57
EU,Mud Crab,28,A,495061.3
USA,Rohu,49,B,392756.27
China,Pangasius,46,C,250900.42
India,Freshwater Prawn,45,B,437831.47
EU,King Prawn,33,B,418443.74
Japan,Vannamei,15,A,110256.68
Japan,Dungeness Crab,19,B,418558.52
China,Catfish,45,B,409230.27
Japan,Grouper,6,B,176560.53
China,King Crab,30,B,373437.93
China,Vannamei,9,B,105785.03
Japan,Black Tiger Shrimp,6,A,467393.38
EU,Vannamei,49,A,175899.13
EU,Soft Shell Crab,19,C,36175.55
China,Mud Crab,45,B,276031.5
India,Grouper,10,A,254141.73
Japan,Banana Prawn,29,C,381874.07
India,Black Tiger Shrimp,10,C,32107.2
EU,Black Tiger Shrimp,9,A,142685.34
EU,Catfish,46,C,495166.48
EU,Tiger Prawn,13,C,201775.39
EU,Rohu,37,C,89760.9
EU,Salmon,19,C,361805.03
China,Cod,4,B,27110.34
China,Snapper,12,A,192314.9
India,Mud Crab,23,C,37617.29
Japan,Pangasius,21,A,245164.0
EU,Snapper,1,B,275197.3
USA,Rohu,49,C,264518.11
India,King Prawn,50,B,430501.91
USA,Black Tiger Shrimp,48,A,140597.99
Japan,Barramundi,6,A,322261.8
EU,Freshwater Prawn,12,A,431022.32
EU,Catfish,32,C,131395.72
