Species,Age_Days,Water_Temp,DO,Feed_Type,Protein,Feed_Quantity
Catfish,19,30.9,6.0,Floating,39,32.41
Banana Prawn,111,23.8,8.0,Sinking,31,22.87
Vannamei,101,22.1,6.7,Floating,28,48.39
King Prawn,136,23.5,4.9,Floating,36,38.14
King Prawn,83,25.5,5.6,Pellet,33,46.48
Tiger Prawn,56,26.8,8.0,Sinking,31,2.36
Whiteleg Shrimp,16,20.9,6.0,Pellet,32,20.62
Rohu,39,20.4,6.6,Sinking,33,18.9
Snow Crab,47,25.5,6.6,Floating,38,44.7
Tilapia,118,24.0,5.2,Floating,45,20.08
Grouper,111,31.1,5.7,Sinking,30,3.43
Trout,49,30.3,6.4,Pellet,36,33.09
Vannamei,137,22.9,8.0,Pellet,38,36.42
Pangasius,80,20.2,4.5,Floating,34,49.22
Catfish,121,20.1,4.4,Floating,30,8.65
Catfish,141,20.3,5.8,Floating,35,18.31
Carp,106,31.0,5.5,Sinking,30,21.54
Snow Crab,149,31.8,4.0,Floating,42,41.2
Catfish,108,22.5,4.4,Sinking,37,41.16
Soft Shell Crab,132,28.5,5.4,Sinking,32,7.06
Catfish,11,26.4,7.5,Floating,29,47.49
Rohu,107,21.3,4.3,Floating,34,29.56
Tilapia,67,30.2,5.0,Floating,42,29.65
Whiteleg Shrimp,118,25.7,5.1,Pellet,38,2.78
Seabass,33,21.5,7.1,Floating,31,24.97
Carp,36,24.6,4.9,Pellet,30,7.8
Vannamei,126,21.5,7.0,Pellet,29,33.79
Vannamei,121,22.5,5.1,Floating,42,26.19
Carp,34,26.5,7.9,Sinking,28,43.16
Snow Crab,141,32.0,6.5,Sinking,31,47.08
Grouper,116,29.5,4.3,Floating,39,19.02
King Crab,59,28.6,5.9,Sinking,39,25.3
Milkfish,88,27.9,5.0,Floating,35,30.45
Snow Crab,46,29.8,7.1,Sinking,35,12.27
Banana Prawn,126,26.7,7.2,Pellet,41,22.12
Soft Shell Crab,43,29.2,5.9,Pellet,31,17.17
Snow Crab,78,26.9,7.6,Sinking,37,31.76
Whiteleg Shrimp,76,31.9,4.3,Floating,35,27.16
King Crab,72,30.0,6.7,Sinking,38,12.68
King Prawn,68,24.8,7.2,Floating,28,24.24
Vannamei,65,27.0,5.2,Pellet,44,9.56
Catfish,122,29.8,7.2,Pellet,38,48.67
Soft Shell Crab,42,27.9,6.2,Floating,31,8.04
Soft Shell Crab,89,22.0,7.4,Floating,42,5.93
Barramundi,70,24.1,5.5,Pellet,42,39.34
Banana Prawn,39,26.0,6.2,Pellet,41,18.06
Snow Crab,87,31.3,7.9,Pellet,43,29.76
Snow Crab,108,30.7,7.1,Sinking,34,41.73
Snapper,126,25.6,5.1,Pellet,32,23.3
Tiger Prawn,45,24.2,6.0,Pellet,44,27.99
Pangasius,146,27.2,4.1,Sinking,35,30.49
Rohu,86,25.1,7.6,Sinking,29,2.59
Tuna,116,22.8,5.9,Floating,42,26.12
Dungeness Crab,48,28.3,7.5,Sinking,39,12.23
Cod,26,28.0,6.4,Pellet,30,49.32
Banana Prawn,140,24.8,4.0,Sinking,34,19.07
Freshwater Prawn,68,23.5,6.1,Sinking,31,10.16
Cod,20,26.1,4.2,Sinking,38,5.16
Carp,54,22.5,7.0,Pellet,38,14.3
Mud Crab,128,30.0,6.2,Floating,37,38.42
King Crab,78,24.8,7.8,Sinking,28,22.91
Mud Crab,66,29.7,4.1,Floating,44,18.42
Milkfish,60,24.7,4.5,Pellet,30,2.75
Catfish,126,24.2,5.8,Floating,45,34.78
Tiger Prawn,29,23.7,6.6,Pellet,37,15.58
Seabass,47,21.2,6.9,Pellet,42,37.35
Seabass,33,24.7,5.7,Floating,38,42.65
Black Tiger Shrimp,108,23.2,5.0,Pellet,34,22.27
Snapper,88,24.0,5.1,Sinking,36,11.68
Whiteleg Shrimp,82,27.9,6.9,Sinking,32,31.05
Banana Prawn,51,30.5,7.1,Sinking,39,22.63
King Crab,64,29.4,6.6,Floating,39,30.59
Pangasius,39,24.3,7.5,Pellet,44,41.79
Snow Crab,114,20.9,5.9,Sinking,35,9.9
Milkfish,65,23.6,4.1,Pellet,32,44.63
Soft Shell Crab,143,24.1,7.7,Pellet,36,1.48
Dungeness Crab,28,24.0,7.8,Pellet,33,10.2
Cod,134,26.0,5.1,Pellet,43,38.78
Tilapia,89,30.5,7.9,Pellet,31,20.9
Snow Crab,21,30.5,4.3,Pellet,39,6.27
Grouper,147,28.0,7.4,Sinking,36,27.11
Rohu,141,21.4,5.4,Pellet,36,43.34
Catfish,150,25.1,6.9,Sinking,30,40.62
Grouper,108,20.3,4.4,Pellet,29,8.01
Pangasius,147,26.1,6.9,Floating,39,17.59
Trout,97,28.0,5.9,Sinking,29,40.07
