Country,State,District,Latitude,Longitude,Climate_Zone,Season,Aqua_Type,Species,Suitability_Score
Bangladesh,Surat Thani,East Annamouth,-5.195,94.3911,Tropical,Winter,Fish,Tuna,47
Vietnam,Sumatra,East Christinaland,-3.4629,92.9417,Subtropical,Monsoon,Prawn,Whiteleg Shrimp,40
Indonesia,Rayong,Jaclynview,0.2631,65.2528,Tropical,Summer,Crab,Snow Crab,86
Bangladesh,Surat Thani,Rileyfurt,3.5137,88.5076,Tropical,Monsoon,Fish,Trout,86
India,Bali,Molinaton,16.4717,74.4321,Subtropical,Monsoon,Prawn,Vannamei,87
India,Ca Mau,South Amandamouth,23.9492,61.6135,Subtropical,Winter,Fish,Carp,100
India,Nakorn Si Thammarat,Chapmanfort,13.4189,98.2802,Tropical,Winter,Crab,Snow Crab,51
Vietnam,Mekong Delta,Caitlynview,22.9357,65.1912,Subtropical,Summer,Prawn,Vannamei,58
India,Khulna,Murphyland,26.918,85.0109,Tropical,Summer,Prawn,Whiteleg Shrimp,47
India,Trat,Davismouth,19.7444,87.7247,Subtropical,Summer,Fish,Tilapia,82
Bangladesh,Soc Trang,Lake Christopherland,9.3519,95.4402,Subtropical,Summer,Fish,Trout,74
Bangladesh,Nakorn Si Thammarat,North Stephanietown,11.9076,93.2059,Subtropical,Summer,Fish,Cod,57
Indonesia,Odisha,West Carla,0.8727,62.1777,Subtropical,Monsoon,Fish,Catfish,50
Vietnam,Bali,Elizabethbury,-0.8015,78.7767,Tropical,Monsoon,Fish,Grouper,72
India,Chonburi,Rodriguezburgh,-7.316,64.6169,Tropical,Monsoon,Fish,Tilapia,89
India,Bali,Beverlymouth,12.3494,85.2201,Subtropical,Summer,Fish,Tuna,70
Indonesia,Rajshahi,Pamelahaven,-5.1514,63.9465,Subtropical,Monsoon,Fish,Snapper,83
Vietnam,West Bengal,New Richardside,26.9037,79.0903,Tropical,Summer,Fish,Carp,65
Indonesia,Kerala,Brianmouth,23.4567,88.7447,Tropical,Monsoon,Fish,Carp,96
Indonesia,Barisal,Amandaside,24.3987,95.8089,Tropical,Summer,Fish,Seabass,55
Vietnam,Soc Trang,Lake Susan,0.7154,76.5687,Tropical,Summer,Prawn,Vannamei,69
Thailand,Mekong Delta,Cynthiafort,4.8514,84.1747,Subtropical,Summer,Fish,Tilapia,81
Thailand,Bali,Valeriebury,18.8151,83.3022,Tropical,Summer,Prawn,King Prawn,91
India,Bac Lieu,Latoyaview,-4.6684,76.5575,Subtropical,Monsoon,Fish,Carp,85
Thailand,Chittagong,East Allisonfort,17.3172,69.5856,Tropical,Summer,Fish,Milkfish,80
