Country,State,Supplier_Name,Species,Seed_Quality_Rating,Contact,Distance_km
Bangladesh,Vermont,Myers-Kaiser,Rohu,3,(250)236-4167x62704,78.2
Indonesia,New Jersey,Cook-Wolf,King Prawn,5,968-443-1676x31306,50.2
Bangladesh,Massachusetts,Henry-Rodriguez,Grouper,4,470.628.5450x8604,170.2
Indonesia,Vermont,Morris-Diaz,Vannamei,4,902-260-7978x62359,141.2
Indonesia,Virginia,Schwartz LLC,Grouper,5,001-523-784-3758x32604,189.1
Indonesia,Colorado,"Henderson, Riggs and Spears",King Crab,3,(221)645-9047,131.3
Vietnam,Alaska,Grant Inc,Tilapia,4,950-781-0118x45431,184.6
India,Texas,Miller Inc,Vannamei,3,958-293-5711,83.8
Indonesia,Illinois,Haney-Burgess,Rohu,5,001-738-530-0968x7410,106.9
Indonesia,Michigan,Wright-Soto,Black Tiger Shrimp,4,001-751-467-7061x55529,172.9
Vietnam,Missouri,Jones Group,Cod,5,627.295.1763x6165,89.8
Thailand,Hawaii,"Stevens, Salazar and Williams",Black Tiger Shrimp,5,001-634-727-6723x282,114.0
Bangladesh,Arizona,"Gordon, Edwards and Brooks",Salmon,4,(902)585-6137x05695,3.5
Vietnam,Oregon,"Strickland, Moreno and Perez",Black Tiger Shrimp,4,+1-488-809-1710x14554,172.9
India,Alaska,Powell PLC,Catfish,4,6116923208,114.2
Vietnam,Mississippi,Martin Ltd,Salmon,3,235-344-4122x669,36.4
Vietnam,Pennsylvania,Villegas PLC,Barramundi,5,(808)847-4608x3543,182.2
Bangladesh,Oregon,Jordan-Turner,Blue Swimmer Crab,4,618.635.0251x7793,118.5
Vietnam,Arizona,Wolfe Ltd,Carp,5,+1-743-468-9366x88366,9.2
Vietnam,Hawaii,Holt and Sons,Catfish,4,612.611.3332,16.3
Indonesia,Alaska,Smith Group,Trout,5,230.294.4287x0382,61.7
India,Minnesota,Fitzgerald PLC,King Crab,4,682-806-5807,24.6
Vietnam,Wyoming,"Brown, Nichols and Haynes",Trout,4,(287)357-4289x393,157.5
Bangladesh,Oklahoma,Robinson-Little,Black Tiger Shrimp,4,001-459-221-4331,28.7
India,Georgia,Williams Inc,Tilapia,3,+1-615-773-7466x737,14.2
Thailand,Nevada,Ewing Inc,Tuna,5,846-758-5968,156.5
India,Texas,Vang LLC,Dungeness Crab,4,757-352-6568x494,151.5
Vietnam,New Jersey,"Garcia, Flowers and Beasley",Blue Swimmer Crab,5,544.968.3139x1414,25.3
Thailand,Nebraska,Walker PLC,Tiger Prawn,4,697-817-9511x4108,118.3
India,Illinois,Brown LLC,Dungeness Crab,4,272.378.0229x6731,59.7
Bangladesh,Maryland,"Beck, Terry and Taylor",Barramundi,3,484-915-0677x3742,128.4
India,South Dakota,"Riley, Montgomery and Fernandez",Salmon,4,001-225-394-7743x3557,47.2
Bangladesh,Alabama,"Wright, Moreno and Moran",Salmon,5,+1-861-309-4576x85149,111.0
Bangladesh,Kansas,"Williams, Blair and Lopez",King Crab,3,+1-356-946-5751x339,21.2
Vietnam,New Mexico,"Williams, Allen and Barrera",Pangasius,5,+1-593-895-4897x81913,112.4
Thailand,Nevada,"Henson, Hill and Aguilar",Mud Crab,3,752-637-4216x25766,150.9
Vietnam,Maine,"Rivers, Cherry and Weaver",Snapper,5,937-587-4626,109.9
Indonesia,West Virginia,Wilcox-Stevenson,Vannamei,5,995.936.7131,19.6
Thailand,North Carolina,"Thomas, West and Thompson",Mud Crab,3,317-331-8506x3311,154.5
Bangladesh,Hawaii,"Macias, Rose and Rios",Grouper,3,+1-977-271-6942x350,172.1
Bangladesh,Alabama,"Thornton, Whitehead and Nelson",Cod,3,6518267682,183.1
Bangladesh,North Carolina,Little-Moore,Snow Crab,3,(329)279-1949x74249,92.2
Vietnam,Illinois,Rogers-Smith,Mud Crab,3,388-691-5622,10.1
Vietnam,Alaska,Flynn-Mitchell,Grouper,5,+1-474-474-7695x4745,129.8
India,New Mexico,Hayes-Carter,Tilapia,3,585.208.9966x259,96.7
Bangladesh,Missouri,Mcdonald Group,Trout,4,001-348-895-1772x0963,87.0
India,Hawaii,"Rogers, Velez and Lewis",Soft Shell Crab,5,465-912-0385x00891,71.9
Vietnam,New Jersey,Rosario and Sons,Soft Shell Crab,5,702.944.9697x40744,158.1
India,Maryland,Andrews and Sons,Carp,4,001-967-870-1001x5986,61.3
Indonesia,Maryland,Holloway PLC,Snapper,5,+1-720-843-8092x1950,68.0
Vietnam,North Dakota,Tapia-Brown,Dungeness Crab,4,3678196669,20.6
India,Vermont,"Velez, Robertson and Miller",Seabass,4,(281)683-1588,62.3
Indonesia,Washington,Taylor-Parker,Vannamei,3,683-886-4793x4694,22.3
Vietnam,Alabama,"Lambert, Anderson and Anderson",Carp,3,(451)249-6191x8766,139.7
Vietnam,Alabama,"Castillo, King and Nelson",Tuna,4,397.549.7238x55580,19.2
Indonesia,New Mexico,Parsons PLC,Pangasius,4,+1-764-947-7854,153.5
Vietnam,Oklahoma,Roach-Webb,Carp,5,(835)481-0324x3838,70.3
Thailand,Pennsylvania,Luna-Neal,Grouper,5,627.989.0151,16.3
Thailand,New Hampshire,"Miller, Stewart and Richardson",Snow Crab,4,+1-826-688-2977x6479,55.0
Bangladesh,Vermont,Schwartz Inc,Catfish,3,269.532.4312x98203,86.6
Bangladesh,Vermont,"Murphy, Edwards and Mcknight",Cod,3,(333)436-9495,119.0
Thailand,Illinois,Sellers-Murphy,Banana Prawn,4,+1-523-882-0653x0148,35.9
Indonesia,New Hampshire,"Baldwin, Ray and Ingram",Milkfish,3,427-842-1665x05953,127.7
Thailand,Nebraska,"Phillips, Mitchell and Thomas",Dungeness Crab,4,001-590-517-8686,31.8
Bangladesh,Nevada,Smith-Estrada,Tiger Prawn,4,+1-968-849-7757x3293,134.8
India,Maine,"Brewer, Brown and Robinson",Soft Shell Crab,3,470-775-9806x02207,181.1
Bangladesh,Oklahoma,Hays-Santana,Rohu,4,541.478.6169,83.6
Bangladesh,Indiana,Reynolds Inc,Barramundi,4,6357425827,108.4
India,Maryland,"Cooper, Kirk and Moody",Milkfish,5,(682)439-4272,76.7
Indonesia,West Virginia,Massey-Davis,Snow Crab,4,(694)809-7092x0485,122.1
Bangladesh,Utah,"Turner, Aguilar and Beard",Black Tiger Shrimp,4,426-543-5920,133.5
India,Kansas,Perez-Peterson,Catfish,3,5359385757,124.5
