Water_Temp,pH,DO,Salinity,Turbidity,Disease_Risk,Disease_Type,Suggested_Medicine
25.2,7.24,4.29,14.87,49.95,0,None,None
25.5,8.36,6.32,17.24,43.26,1,White Spot,Lime Treatment
29.5,7.59,6.54,23.48,37.36,1,White Spot,Lime Treatment
29.4,6.7,6.73,17.95,15.78,0,None,None
29.7,6.65,6.49,24.76,43.89,1,White Spot,Lime Treatment
25.3,6.72,6.63,8.12,56.5,0,None,None
27.3,6.91,5.59,11.52,21.15,0,None,None
25.7,7.87,6.37,21.0,10.83,0,None,None
27.1,7.2,4.7,13.41,59.66,1,White Spot,Lime Treatment
30.3,7.86,5.96,9.72,32.3,1,White Spot,Lime Treatment
30.1,8.44,5.45,17.03,44.85,1,White Spot,Lime Treatment
28.8,6.59,6.45,5.67,38.16,1,White Spot,Lime Treatment
25.6,7.68,4.86,13.19,42.05,0,None,None
30.0,6.99,5.88,8.82,12.27,1,White Spot,Lime Treatment
29.7,7.54,6.13,5.87,54.85,0,None,None
29.6,7.69,5.96,16.15,57.75,1,White Spot,Lime Treatment
27.2,7.97,4.78,10.18,27.35,1,White Spot,Lime Treatment
26.6,7.3,4.39,12.04,56.98,0,None,None
25.3,7.21,5.33,21.0,42.59,1,White Spot,Lime Treatment
30.7,7.42,6.03,6.97,54.09,0,None,None
27.0,7.81,5.6,13.86,24.84,1,White Spot,Lime Treatment
26.8,8.43,4.93,14.43,42.75,1,White Spot,Lime Treatment
31.0,8.32,6.53,8.94,38.35,1,White Spot,Lime Treatment
30.4,6.75,4.17,12.88,24.44,0,None,None
24.4,8.16,4.15,12.13,20.98,0,None,None
26.4,6.83,5.27,6.66,48.32,1,White Spot,Lime Treatment
26.9,7.58,6.16,17.65,42.48,0,None,None
31.5,7.83,4.66,5.38,14.84,1,White Spot,Lime Treatment
29.9,6.98,6.5,17.77,26.7,1,White Spot,Lime Treatment
28.9,7.87,4.84,12.12,15.57,0,None,None
24.8,7.95,5.23,12.55,52.69,1,White Spot,Lime Treatment
30.0,7.81,6.62,24.24,38.17,1,White Spot,Lime Treatment
25.2,7.24,6.96,14.35,20.59,1,White Spot,Lime Treatment
28.4,7.93,5.25,21.32,44.21,0,None,None
25.8,6.83,6.44,17.68,52.33,1,White Spot,Lime Treatment
24.5,8.48,4.73,9.67,58.58,0,None,None
28.9,7.12,6.48,19.68,21.17,0,None,None
31.2,7.18,4.29,24.88,18.28,1,White Spot,Lime Treatment
24.6,8.02,4.92,18.96,31.85,0,None,None
29.7,7.33,5.32,8.64,53.74,0,None,None
31.6,7.51,4.74,9.71,17.5,1,White Spot,Lime Treatment
29.2,7.88,6.77,6.66,20.12,1,White Spot,Lime Treatment
25.0,7.74,5.9,24.36,11.79,0,None,None
26.9,6.72,4.92,11.18,18.03,1,White Spot,Lime Treatment
25.5,7.35,6.33,15.55,53.71,0,None,None
28.4,7.74,5.78,13.56,36.28,1,White Spot,Lime Treatment
29.2,8.07,6.46,9.2,50.38,1,White Spot,Lime Treatment
28.8,6.62,6.89,19.06,50.43,1,White Spot,Lime Treatment
26.4,7.98,4.51,18.65,19.05,1,White Spot,Lime Treatment
31.3,8.04,4.99,15.83,45.16,0,None,None
24.4,7.63,5.34,17.12,31.63,1,White Spot,Lime Treatment
27.3,7.17,6.93,6.51,26.21,0,None,None
30.8,6.74,4.61,18.66,12.71,0,None,None
25.4,7.46,6.9,6.92,37.87,1,White Spot,Lime Treatment
31.9,8.39,4.06,16.55,42.61,1,White Spot,Lime Treatment
31.2,7.03,4.28,18.62,44.89,0,None,None
27.6,8.39,5.42,17.42,13.1,1,White Spot,Lime Treatment
30.2,6.95,5.0,7.84,59.46,1,White Spot,Lime Treatment
31.3,6.96,4.05,5.6,40.29,0,None,None
30.9,8.15,6.29,12.33,36.31,0,None,None
26.6,6.93,6.37,18.93,43.97,0,None,None
25.7,7.57,5.3,11.65,14.09,1,White Spot,Lime Treatment
29.8,7.31,5.89,24.39,18.27,1,White Spot,Lime Treatment
27.8,7.91,6.56,15.25,52.03,0,None,None
27.1,6.82,5.37,23.67,49.32,1,White Spot,Lime Treatment
29.0,7.45,4.14,16.73,40.01,0,None,None
24.2,8.0,4.05,12.85,43.48,0,None,None
29.6,6.87,6.55,5.16,35.03,0,None,None
24.1,6.55,4.5,23.01,28.34,1,White Spot,Lime Treatment
26.8,6.57,5.75,23.17,25.5,0,None,None
27.4,7.87,5.66,14.75,33.37,1,White Spot,Lime Treatment
29.9,7.11,6.86,14.53,46.34,1,White Spot,Lime Treatment
25.0,7.22,6.06,10.38,32.44,1,White Spot,Lime Treatment
31.2,6.79,5.04,15.29,38.93,0,None,None
28.2,6.77,4.55,16.87,10.85,0,None,None
30.4,8.43,5.88,20.38,51.91,1,White Spot,Lime Treatment
24.8,7.05,5.26,16.68,26.4,1,White Spot,Lime Treatment
24.7,6.51,4.48,9.6,40.05,0,None,None
27.8,7.44,4.31,5.68,22.06,0,None,None
27.8,8.13,6.72,6.42,57.4,0,None,None
27.0,7.53,6.76,17.08,27.32,0,None,None
31.3,7.02,6.95,5.28,17.66,1,White Spot,Lime Treatment
31.6,7.69,6.14,19.85,46.13,0,None,None
29.8,8.37,6.2,13.37,24.86,1,White Spot,Lime Treatment
24.3,7.95,6.67,19.23,28.64,0,None,None
26.5,6.98,5.97,19.47,34.67,0,None,None
26.1,6.85,5.78,6.12,27.87,0,None,None
27.8,7.88,5.35,12.13,51.19,1,White Spot,Lime Treatment
30.9,7.94,5.56,21.83,14.73,1,White Spot,Lime Treatment
24.1,7.36,6.96,8.31,59.02,0,None,None
27.2,8.02,4.74,17.88,13.77,0,None,None
29.9,7.54,5.1,11.13,25.4,0,None,None
30.4,7.16,6.07,14.92,43.19,1,White Spot,Lime Treatment
24.8,6.78,6.72,9.76,52.76,1,White Spot,Lime Treatment
30.5,8.44,4.52,16.73,32.42,0,None,None
26.1,8.11,5.92,14.43,53.11,0,None,None
28.1,7.66,5.28,19.86,27.75,1,White Spot,Lime Treatment
31.6,7.89,4.92,16.0,49.75,1,White Spot,Lime Treatment
29.6,8.18,4.87,12.91,22.88,0,None,None
27.1,7.84,5.71,11.9,37.15,1,White Spot,Lime Treatment
25.4,6.68,4.85,14.74,18.52,1,White Spot,Lime Treatment
26.1,6.99,5.76,6.75,23.97,0,None,None
29.1,7.57,5.67,22.94,37.75,1,White Spot,Lime Treatment
27.2,8.17,6.55,22.66,42.49,0,None,None
26.9,7.44,6.63,18.28,59.46,1,White Spot,Lime Treatment
31.0,6.93,5.21,23.66,22.48,0,None,None
25.2,7.26,4.6,8.22,52.26,0,None,None
29.8,7.41,6.49,17.54,55.69,0,None,None
31.6,7.38,5.28,8.78,29.05,0,None,None
28.6,6.78,6.04,22.43,10.26,1,White Spot,Lime Treatment
29.9,7.81,5.47,8.96,25.26,1,White Spot,Lime Treatment
25.7,8.35,5.51,23.59,38.92,1,White Spot,Lime Treatment
25.2,7.98,5.36,23.41,25.85,0,None,None
24.3,6.67,4.77,21.68,14.12,0,None,None
26.2,7.98,5.55,23.94,37.19,0,None,None
25.9,6.6,4.32,9.74,58.73,0,None,None
31.1,7.73,5.91,8.23,22.4,1,White Spot,Lime Treatment
28.4,8.41,6.0,7.04,20.89,1,White Spot,Lime Treatment
30.9,7.64,5.8,12.5,53.58,0,None,None
