Species,Pond_Area,Feed_Used,Culture_Days,Expected_Yield
Catfish,1.4,3649,153,6.28
Tuna,2.1,4304,90,9.89
Vannamei,2.7,2853,144,4.64
Whiteleg Shrimp,1.4,3551,164,9.07
King Crab,1.9,1691,102,5.08
Rohu,2.4,1167,179,4.53
Pangasius,5.0,2058,93,9.77
Tilapia,3.2,2855,102,7.13
King Crab,1.1,2545,123,2.39
Vannamei,4.1,1832,155,2.29
Milkfish,4.5,2974,134,7.01
Trout,3.5,1625,105,6.5
Freshwater Prawn,2.0,1143,138,3.59
Milkfish,3.0,3289,160,5.21
Banana Prawn,1.3,2188,170,4.83
Catfish,2.7,606,167,6.92
Tuna,1.8,3272,150,6.25
Tilapia,3.5,706,168,7.95
Catfish,4.9,4956,112,4.2
Seabass,3.4,1725,139,5.81
Seabass,4.7,2577,122,6.63
Snapper,3.4,3228,144,8.98
Barramundi,5.0,2282,148,3.99
Grouper,3.5,934,175,6.4
Blue Swimmer Crab,4.0,2660,147,5.3
Salmon,3.9,1778,136,8.26
King Crab,1.8,1493,162,6.36
Black Tiger Shrimp,4.7,2338,106,2.48
Tilapia,1.6,2052,103,6.0
Vannamei,1.5,3235,148,9.78
Cod,3.7,2435,97,9.37
Seabass,4.0,1615,142,3.36
Snapper,2.2,3911,98,5.76
Tiger Prawn,3.5,4536,160,3.49
King Prawn,3.9,872,179,3.36
Snow Crab,4.3,4545,133,4.61
Banana Prawn,2.2,3153,106,9.66
Grouper,1.8,1537,123,3.36
Milkfish,4.5,923,152,7.56
Milkfish,4.3,4672,95,4.45
Mud Crab,2.9,1555,129,3.85
Freshwater Prawn,3.9,3788,115,8.33
Rohu,1.9,3632,158,2.84
Snapper,2.2,2745,170,3.41
Cod,3.6,3175,174,4.8
Soft Shell Crab,2.8,1452,124,2.14
Vannamei,4.3,3343,104,9.31
Tiger Prawn,1.3,4630,100,9.9
Snow Crab,1.8,2645,113,5.52
Tiger Prawn,2.0,3062,98,3.61
Carp,4.5,2288,135,2.59
Soft Shell Crab,4.9,3648,118,5.1
Vannamei,1.8,2199,130,8.5
